"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12"
"United States",0,0.8270070587757,0.909090909090909,0.905797101449275,0.901287553648069,0.892857142857143,0.921658986175115,0.892325996430696,0.875,0.866631033076157,0.871670702179177,0.870010235414534,0.897435897435897,0.867507886435331,0.857843137254902,0.862533692722372,0.87778065481328,0.876168224299065,0.868809730668983,0.858803271631511,0.857602125814046,0.846613545816733,0.837520938023451,0.838363514419852,0.840336134453782,0.841750841750842,0.854221635883905,0.871940559440559,0.875,0.87594696969697,0.877831715210356,0.874177029992685,0.871459694989107,0.864508016347061,0.863930885529158,0.87719298245614,0.875796178343949,0.863899613899614,0.876701361088871,0.886951292844257,0.887949260042283,0.866425992779783,0.855745721271394,0.865051903114187,0.853588108730702,0.855654761904762,0.851788756388416,0.854700854700855,0.85,0.845665961945032,0.839748075577327,0.839222614840989,0.844704353476283,0.871812080536913,0.874681933842239,0.875706214689266,0.872004309656602,0.866793271839392,0.859845227858985,0.858722358722359,0.85665334094803,0.861393891934221,0.866166510277596,0.880242825607064,0.892857142857143,0.899,0.902184235517569,0.904105165847639,0.905660377358491,0.90015932023367,0.89942321557318,0.901328273244782,0.900900900900901,0.905511811023622,0.913838120104439,0.932203389830508,0.939086294416244,0.939393939393939,0.934375,0.937891441592926,0.938281901584654,0.929054054054054,0.925925925925926,0.928981348637016,0.914634146341463,0.925,0.931263858093126,0.947561852969449,0.969012985815978,0.976300875837197,0.97972972972973,0.980769230769231,0.976394849785408,0.974842767295597,0.970804610919816,0.96969696969697,0.968858131487889,0.972972972972973,0.980938256691984,0.996048464535067,1.01522842639594,1.02380952380952,1.02481121898598,1.02422907488987,1.01960784313725,1.0144549797136,1.01171875,1.01239669421488,1.01302460202605,1.015625,1.025,1.04166666666667,1.06222222222222,1.06707317073171,1.07142857142857,1.06951871657754,1.05938608156028,1.0536253776435,1.03550295857988,1.03359173126615,1.03125
"Los Angeles-Long Beach-Anaheim, CA",1,,1.6536911222208,1.62122969837587,1.66089965397924,1.64473684210526,1.63444504361042,1.62929778554779,1.60722128372564,1.5913022963196,1.58355795148248,1.57730513095557,1.63284416610902,1.60758314355085,1.62059103908484,1.61787365177196,1.64179104477612,1.63684811572136,1.61603102779573,1.6126677501457,1.60756501182033,1.60087719298246,1.59680638722555,1.59250034256112,1.60848534843173,1.60714285714286,1.59896283491789,1.578073089701,1.56742902208202,1.5893470790378,1.5916955017301,1.56482861400894,1.53640614562458,1.56077567799814,1.58045977011494,1.58119658119658,1.56998075460409,1.56617071260767,1.59831121833534,1.61285496418988,1.59911894273128,1.5625,1.58102766798419,1.58536585365854,1.56240216030056,1.57586672669968,1.5702479338843,1.5625,1.58163919357457,1.57470777635354,1.57211209842789,1.57695191916797,1.5940043078547,1.63144893332019,1.65289256198347,1.67949615115465,1.67729319612622,1.67785234899329,1.68141592920354,1.68789808917197,1.69003868471954,1.709726443769,1.6967908520841,1.71130155329405,1.76897772390288,1.78571428571429,1.79010062727911,1.80794896921918,1.81278839815425,1.8120590121873,1.81528662420382,1.83006535947712,1.82119205298013,1.84143222506394,1.85967439764751,1.87837047396957,1.86424474187381,1.85600913541245,1.8664752333094,1.84237366826312,1.83630640083945,1.88261351052049,1.82133051512246,1.88773029954192,1.81065233634602,1.90550653869816,1.94659130396057,1.99240986717268,2,2.00111172873819,2.02010101010101,2.02101859337106,2.01970443349754,2.00646087580761,2,2.01018493701421,2,2.00803212851406,2.03592814371257,2.05872090636673,2.08062418725618,2.10803689064559,2.12207351359075,2.10260723296888,2.10040983606557,2.08333333333333,2.08333333333333,2.10385438972163,2.11601420822322,2.12201591511936,2.13008875739645,2.14285714285714,2.17391304347826,2.18665285663137,2.21025701790292,2.22055272655542,2.20426157237325,2.20603015075377,2.20701364088754,2.21953188054883,2.22611305652826
"Chicago, IL",2,,1.1166253101737,1.09125287784502,1.08240223463687,1.07289889222935,1.09027961834084,1.06741973840666,1.05731775180857,1.0625,1.08506944444444,1.09046849757674,1.15217391304348,1.10860215053763,1.12051080268994,1.15335424932207,1.21951219512195,1.20489211309524,1.22695412064571,1.2628287688432,1.28029263831733,1.26395668767196,1.21130551816958,1.1710500836194,1.16666666666667,1.18025418931827,1.19856191723937,1.20880836047774,1.14017087863297,1.16071428571429,1.24959961563101,1.25,1.30579297245964,1.38461538461538,1.42371237458194,1.45,1.5,1.48164983164983,1.43275028867126,1.46603611349957,1.43360160965795,1.33928571428571,1.19496855345912,1.19356238799283,1.15040213045203,1.14952389968365,1.14285714285714,1.1430022412579,1.15830115830116,1.15156776094276,1.14087301587302,1.13629943502825,1.12942612942613,1.16767865483419,1.1864406779661,1.18801188974189,1.18383545722122,1.1866235167206,1.18564331200201,1.17521367521368,1.17142857142857,1.18181818181818,1.18378378378378,1.2,1.23335943617854,1.22603321651186,1.21412803532009,1.20529565131838,1.20097048905189,1.19565217391304,1.19047619047619,1.19504525233932,1.19733529745356,1.20689655172414,1.21412803532009,1.2248410268488,1.2472885032538,1.25,1.24370139393958,1.25518707922241,1.23823316437364,1.23529411764706,1.23452012383901,1.2344398340249,1.24564025909317,1.22727272727273,1.23246918827029,1.24352331606218,1.25,1.27009922242814,1.26829268292683,1.27552552552553,1.26165113182423,1.25,1.24521072796935,1.25,1.25707102451288,1.25,1.26016327340032,1.28205128205128,1.3,1.30703422053232,1.31818181818182,1.30322126777251,1.30158889305802,1.29358830146232,1.29620701447329,1.29607027293571,1.29422317126271,1.30475302889096,1.3290802764487,1.33565621370499,1.35025336762263,1.34813884903555,1.35,1.3473698900671,1.33333333333333,1.32777931415929,1.31147540983607,1.31172839506173,1.31077216396568
"Dallas-Fort Worth, TX",3,,0.708306503541533,0.728699551569507,0.757934628138323,0.777676120768527,0.782527260215202,0.756004023638878,0.745682888540031,0.736492083946981,0.75046904315197,0.755983654407472,0.759631036353771,0.762140287769784,0.733643050716221,0.737620781108738,0.74130738273239,0.746681415929204,0.749114472935542,0.740502253702511,0.737327188940092,0.729166666666667,0.728862973760933,0.733496332518337,0.733189026687855,0.734981129454781,0.739429836480068,0.750664982278836,0.766941926536042,0.759056222668893,0.764517875574535,0.763923114834894,0.764633649607054,0.764818355640535,0.764423076923077,0.765864332603939,0.767847971237802,0.770925110132159,0.777291825821238,0.7879488302842,0.791473195441114,0.7847533632287,0.78125,0.78512964725492,0.783613187687513,0.783324482209241,0.779181708784597,0.776426566884939,0.774939767999496,0.779699461298554,0.782009258078683,0.785691838017419,0.790719325676188,0.806873177654145,0.814132887153041,0.818505338078292,0.819093706400879,0.814931650893796,0.811458018453567,0.810178013892587,0.814075630252101,0.818046603867129,0.824931255728689,0.83404619332763,0.834939581546034,0.842358604091456,0.852574680544978,0.856441582598843,0.856850167960153,0.849256900212314,0.851010263332691,0.854972995121699,0.857142857142857,0.8592244548394,0.867609254498715,0.874330248416951,0.875576036866359,0.879854368932039,0.884553301584394,0.889924294960703,0.888568683957733,0.887223974763407,0.879478827361563,0.884671634788149,0.875985977212971,0.897790055248619,0.905740181268882,0.917094644167278,0.92814371257485,0.934878555991154,0.938989860427489,0.938281901584654,0.93529669371322,0.933997509339975,0.9278158853742,0.926882464026385,0.929311395490555,0.936200104396659,0.944279426646096,0.952448248943444,0.964912280701754,0.971638655462185,0.975979872298055,0.96948839722536,0.970873786407767,0.967860926373171,0.964530180460485,0.962590488514958,0.967888444957388,0.976312419974392,0.983162360854037,0.994575045207957,1.00215517241379,1.00362230104132,1.0034984349107,1.00563153660499,0.998240951031295,1.00057175528874,0.995899238429994,1,0.997079085441283
"Philadelphia, PA",4,,0.936170212765957,0.96551724137931,0.970570449506148,0.954703282828283,0.950543478260869,0.965384103315138,0.959860383944154,0.955882352941177,0.976800976800977,0.96551724137931,0.987584650112867,0.952380952380952,0.952683487626308,0.958994708994709,0.976971388695045,0.982263840495548,0.969387755102041,0.974567577530028,0.983606557377049,0.976653343023256,0.968992248062015,0.969409917134456,0.966585128908624,0.975,0.979166666666667,0.995914198161389,1,1,1,0.997727272727273,0.980392156862745,0.973520249221184,0.963909908894311,0.966618217054264,0.962068965517241,0.96401028277635,0.975,0.987738419618529,1.01102941176471,1.01880877742947,1.02094240837696,1.01425438596491,1,0.995512547242363,0.987525987525988,0.982952709907325,0.979274054982818,0.979519145146928,0.976235320083387,0.981093777925294,0.992063492063492,1.03825136612022,1.04214405743966,1.04166666666667,1.0272121436505,1.01171875,1.00815691434316,1.01011807261807,1.01449275362319,1.02094240837696,1.02833638025594,1.04166666666667,1.05113636363636,1.06071235811784,1.06382978723404,1.05283307810107,1.04399828594475,1.03960396039604,1.03637413394919,1.03037706568241,1.02272727272727,1.02725655947142,1.04117276113324,1.06382978723404,1.08078128011258,1.08506944444444,1.08408617095205,1.0568669527897,1.05792567661974,1.04087854654057,1.03021978021978,1.04166666666667,1.02813852813853,1.04463437796771,1.05848919011668,1.08225108225108,1.10530546623794,1.11111111111111,1.11034421992481,1.10169491525424,1.08756092357434,1.07421875,1.07142857142857,1.07872995384082,1.0752688172043,1.08695652173913,1.09045849090706,1.11794298490777,1.13636363636364,1.1410719181771,1.14035087719298,1.125,1.125,1.11607142857143,1.11702127659574,1.11873561414522,1.12419700214133,1.12421740350969,1.1323425369723,1.14583333333333,1.16190970608736,1.17424242424242,1.171875,1.171875,1.15492957746479,1.14285714285714,1.14348086046199,1.14678899082569,1.15440115440115
"Houston, TX",5,,0.796183995700277,0.756727408463131,0.832177531206657,0.809133531593628,0.807040741516548,0.802011585536124,0.793868113145222,0.766550522648084,0.758044554455445,0.753995503092081,0.747724317295189,0.768049155145929,0.760109526028147,0.763747454175153,0.762003275806169,0.76524512243922,0.77319587628866,0.767598089541579,0.757575757575758,0.742942050520059,0.742431490686051,0.739990084036657,0.736023004853316,0.740396530359356,0.745920745920746,0.763157894736842,0.758222229501753,0.763440860215054,0.76697812117634,0.77027027027027,0.777777777777778,0.773462226924365,0.788022064617809,0.88,0.98,0.872794041316309,0.92896174863388,0.892040256175663,0.984295647714041,0.94642284247674,0.839822024471635,0.856954515491101,0.80742834073476,0.803941908713693,0.806823420931305,0.814814814814815,0.81576421860794,0.798611111111111,0.79388353581902,0.797563805104408,0.8125181369704,0.842077789761989,0.849577054982852,0.851882385270679,0.854010627440487,0.850642285770805,0.847457627118644,0.843821510297483,0.845770498211461,0.853115727002967,0.854031745838791,0.86,0.872402933024355,0.876116071428571,0.881242131766681,0.88328567379038,0.878594249201278,0.873944341759073,0.870646766169154,0.875300996445982,0.875312760633862,0.871212121212121,0.874378109452736,0.87973053437137,0.883100381194409,0.880939668980246,0.878942486085343,0.87431693989071,0.87485172004745,0.869565217391304,0.857875992219944,0.859513930053349,0.848056537102474,0.861079219288175,0.866239638281839,0.870967741935484,0.883218842001963,0.888187170935527,0.889679715302491,0.884818379385284,0.87917042380523,0.887454618797902,0.885799842735116,0.885108481262327,0.888175081119727,0.888077858880779,0.889679715302491,0.896805896805897,0.90439853535518,0.909090909090909,0.911228689006467,0.905797101449275,0.903971547125074,0.899669570441574,0.896860986547085,0.897475712693104,0.904674969990651,0.907590759075908,0.911588411588412,0.918869084204057,0.927835051546392,0.933609958506224,0.933389902418328,0.928347280334728,0.92211750452948,0.921432697862507,0.918143164861738,0.919857053809091,0.921828908554572
"Washington, DC",6,,1.19370343965169,1.20738636363636,1.20357634112792,1.20266377277739,1.23903227667184,1.24069478908189,1.21212121212121,1.17052298468997,1.19773519163763,1.1977886977887,1.19426751592357,1.18715083798883,1.19980806142035,1.20658458466786,1.21771217712177,1.23022847100176,1.23209636652068,1.25,1.24778090324293,1.25,1.23591212486903,1.25,1.23407643312102,1.23456790123457,1.23434384172436,1.24421296296296,1.25291375291375,1.25756870051234,1.26623376623377,1.27198322510823,1.27083004586731,1.26561959712796,1.3,1.33131950192536,1.34615384615385,1.32575757575758,1.3671875,1.38888888888889,1.35,1.27931559535076,1.28205128205128,1.28012048192771,1.2687969924812,1.26760563380282,1.25,1.2442098603933,1.25,1.24750499001996,1.25698324022346,1.2576823182103,1.26262626262626,1.27763403765991,1.28440366972477,1.29464285714286,1.28507833273113,1.27551020408163,1.25376884422111,1.24234470691164,1.25,1.25427594070696,1.26538476103916,1.27817260741629,1.29166666666667,1.29245251837263,1.31034482758621,1.30648330058939,1.31500298864316,1.31205402445114,1.3047138047138,1.29688741592452,1.29830917874396,1.29464285714286,1.3098633356593,1.31443298969072,1.32575757575758,1.31702767685781,1.32933104631218,1.33795837462834,1.33271087328923,1.30037784774547,1.30964500445929,1.29802508712143,1.30546075085324,1.328125,1.32996632996633,1.34128166915052,1.36986301369863,1.38888888888889,1.38888888888889,1.38888888888889,1.37931034482759,1.37317140491306,1.36443661971831,1.36196288533121,1.36406859837781,1.37247629021935,1.37221269296741,1.375,1.40722640290737,1.42241379310345,1.42706131078224,1.42857142857143,1.41843971631206,1.41666666666667,1.41129032258065,1.41824875507797,1.42231947483589,1.41752577319588,1.43512428357561,1.45320674287929,1.48475237569542,1.49122807017544,1.5,1.49038461538462,1.47058823529412,1.45833333333333,1.45547945205479,1.46314012380416,1.46875
"Miami-Fort Lauderdale, FL",7,,,1.21928401355353,1.16156282998944,1.15818937474988,1.15089514066496,1.13924050632911,1.13952906775422,1.14407852342815,1.15736863314296,1.13636363636364,1.16755838732916,1.10091743119266,1.09677419354839,1.09706044079361,1.1053882725832,1.10908500556302,1.10429447852761,1.10714285714286,1.10593713620489,1.10579479000532,1.10414560342395,1.10344827586207,1.10533159947984,1.10660272962007,1.11265646731572,1.12190339513578,1.12847222222222,1.14285714285714,1.14145943742356,1.14036906489737,1.14285714285714,1.14832535885167,1.13712942212898,1.1353173913719,1.13333333333333,1.13133300541072,1.13571631378275,1.14285714285714,1.14249332402253,1.14503816793893,1.14795918367347,1.15384615384615,1.15015974440895,1.15606936416185,1.15685880885598,1.15634048448203,1.160740195672,1.15327380952381,1.14942528735632,1.14756359525155,1.14942528735632,1.16594360086768,1.17370892018779,1.18403247631935,1.18796198521647,1.18964310706788,1.18495620814013,1.18513773222293,1.19168356997972,1.19223224225019,1.20192307692308,1.2112036336109,1.22158874527686,1.22982321291314,1.23636520241171,1.24508519003932,1.25,1.25448028673835,1.25676298688627,1.26463537657426,1.26774847870183,1.26738887830787,1.27363524120293,1.28342245989305,1.28205128205128,1.28354725787631,1.28458498023715,1.27960184250499,1.26825518831668,1.27140715871877,1.26811594202899,1.29205998246634,1.26333926453144,1.29099592762867,1.29198966408269,1.29990714948932,1.31284783629587,1.31815458358298,1.32317562149158,1.32211538461538,1.32180986273513,1.32142857142857,1.32306477093207,1.32621951219512,1.32978723404255,1.33208649122316,1.3375868013984,1.34665508253692,1.35685210312076,1.358,1.36363636363636,1.36795679219472,1.37048003788814,1.37088733798604,1.36986301369863,1.36986301369863,1.3715710723192,1.37333738173128,1.375,1.38317191283293,1.3940139401394,1.39543424232849,1.4,1.40155792490346,1.39771283354511,1.39958012596221,1.40108035111411,1.4047466324567,1.4051077579818
"Atlanta, GA",8,0.69704935135974,0.688844086021505,0.691933240611961,0.69873595505618,0.70281124497992,0.700777179237276,0.689123376623377,0.687103594080338,0.687568756875688,0.686356073211314,0.680221342268251,0.687534378437844,0.675675675675676,0.675154320987654,0.672512351397923,0.679156908665105,0.6776876547474,0.672914099332103,0.664621676891616,0.661053190723135,0.658600761744032,0.655152692444333,0.653501931075461,0.650142994272296,0.651144435674822,0.653846153846154,0.658536585365854,0.664286965818842,0.663129973474801,0.666374649349536,0.662251655629139,0.66006600660066,0.649038461538462,0.654533844189017,0.65891472868217,0.660919540229885,0.659824046920821,0.675377274852417,0.673793419553045,0.675,0.65284178187404,0.658885542168675,0.663687448757374,0.657894736842105,0.662504871395168,0.658389766741911,0.654140570633264,0.65121412803532,0.648779091851715,0.646313662252694,0.649492017416546,0.65167807103291,0.661157024793388,0.664095972579263,0.671842970398645,0.670096702753734,0.665521683125805,0.665294343543869,0.669642857142857,0.672597438010553,0.673652694610778,0.676975945017182,0.683038493463374,0.689655172413793,0.697108416945373,0.700589970501475,0.706521739130435,0.708778173190985,0.705128205128205,0.70189701897019,0.702408256880734,0.707286840977629,0.708502024291498,0.714168104124196,0.719960278053625,0.721153846153846,0.728862973760933,0.731212396158012,0.732265446224256,0.732312958716539,0.730994152046784,0.731382607730996,0.735731272294887,0.730804387568556,0.740983453877664,0.748024696901788,0.758928571428571,0.769230769230769,0.784277879341865,0.789473684210526,0.796379195698965,0.790424570912376,0.78342165676157,0.782312925170068,0.783639143730887,0.786627335299902,0.793720017444396,0.799107142857143,0.80742834073476,0.822368421052632,0.825295275590551,0.829383886255924,0.832203383096983,0.831749049429658,0.826901803948264,0.828840970350404,0.831102086559232,0.836120401337793,0.837734037445991,0.837320574162679,0.854628523694707,0.866136673587364,0.874577348147,0.883246527777778,0.884527295334163,0.880851493139629,0.8796,0.876288659793814,0.88387573964497,0.883009417291952
"Boston, MA",9,,,,,,,,,,,,,,,,,,1.52830811380758,1.58333333333333,1.5420200462606,1.45626708204346,1.39664804469274,1.38888888888889,1.36473429951691,1.38636363636364,1.42543859649123,1.53333333333333,1.52256831076865,1.52582159624413,1.5850144092219,1.57894736842105,1.53846153846154,1.71666666666667,1.80600214362272,1.85254901960784,1.86335403726708,1.90162271805274,1.9585076568912,2.03609954751131,2.04563106796116,2.01307935817505,1.81243301178992,1.89594356261023,1.72,1.675,1.6304347826087,1.59179072619326,1.66666666666667,1.66666666666667,1.66666666666667,1.6166473666152,1.63888888888889,1.85092592592593,1.86206896551724,1.82094741416775,1.74976979742173,1.68948194294815,1.66666666666667,1.66666666666667,1.708984375,1.82574189095928,1.87821872159952,1.88679245283019,1.92307692307692,1.94806866796593,1.95086705202312,1.875,1.80555555555556,1.75,1.72109443954104,1.73611111111111,1.78205125520676,1.86294078509647,1.94444444444444,1.97318504911748,2.00772200772201,2.05882352941176,2.06552175052851,1.98961937716263,1.88341644383416,1.91666666666667,1.90909090909091,1.85902401239349,1.90547736782046,1.95077355991207,2.00926081950178,2.00688073394495,2.04975124378109,2,2.03007518796993,2,1.92623624908606,1.9047619047619,1.87399463806971,1.875,1.91260361539885,2,2.023988005997,2.08855472013367,2.14962686567164,2.15,2.1978021978022,2.08333333333333,2,1.96713723675075,1.93029444880412,1.93649193548387,1.97122087465786,2.03225806451613,2.1,2.1566401816118,2.18928932300438,2.24293309972157,2.31171218487395,2.27272727272727,2.08333333333333,2.02107732437022,2.00138026224983,2.03681926491105,2.04166666666667
