RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
394853,"Merrill, WI",593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118300,118800,111500,112700,113400,108000,108900,96400,100100,103000,102800,101600,93100,90100,88800,89900,81700,87100,86000,102200,101500,99300,98100,95000,96800,99300,98100,108900,110800,115100,104400,97700,93600,94800,101500,107400,106400,100900,103700,102500,97400,92200,97600,104300,110500,110500,119700,115700,117800,116200,123500,125400,115900,113200,116300,126300,122000,115800,118400,116700,120300,122500,132400,141800,138200
753901,"Ludington, MI",594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91200,92800,106800,102400,108900,101400,103100,107500,113600,132800,141700,140700,120300,106300,95500,99500,99700,98200,88300,96400,97800,115900,103900,109700,104400,107300,99600,97000,102200,107300,109800,103600,105100,98700,100600,96200,109400,113100,117400,109400,108400,111400,112700,115700,118800,115500,115900,104100,97900,105000,114800,122700,99400,100000,98100,113400,114500,110800,118400,125200,126700,129600,130100,134700,129900,127200,139600,134700,122200,119200,128700,149200,136200,137400,132900,139600,137000,137000,136400,128900,130700,138500
394508,"Crescent City, CA",595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221800,211000,203600,194200,195900,203400,195400,202800,196700,194000,203300,210400,223400,212300,235100,235300,207600,185700,196400,217300,208500,197000,202200,201300,209300,217200,218400,204500,200000,214500,207500,232900,218900,250000,222800,222000,220600,228800,240900,233900,228200,232200,231700,284400,285700,292900,242700,230200,219000,228200
753871,"Breckenridge, CO",596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372100,367600,368200,359000,363800,352100,364300,354400,370600,364400,379600,372700,363700,343800,344200,360900,380700,394000,392900,390600,386000,387900,385600,374400,365600,353100,359200,359700,364900,382800,392500,402000,388200,390600,389800,396700,401100,412800,409200,406900,406700,403300,399400,402300,398000,394300,404000,430600,447800,448000,439800,425500,426800,448000,467800,472000,456600,457500,465500,482500,502300,530600,545000,557800,537600,521400,499200,519100,544200,571100,551700,544300,541100,558300,599400,581000,606200,588600,593400,602100,610800,684400,664400,686400,656600,
753884,"Hailey, ID",597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349300,339200,327800,335300,343800,381900,362600,345900,324500,333100,351700,370400,443500,422600,405700,343900,355400,368400,374400,376700,416800,446400,432500,394700,350400,358500,351800,349600,399700,405600,394700,,
753926,"Weatherford, OK",598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152800,151500,165800,174400,155600,152100,137700,139800,144800,134400,142800,129900,136400,136400,139400,146600,160500,178800,183800,169700,156300,149700,151700,146000,147500,145000,150600,146300,138900,141400,145200,148500,167800,165200,165200,145000,151700,163300,163500,150700,149000,146800,166400,157300
394892,"Mountain Home, ID",599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99600,96800,97000,98100,105900,104800,107700,104600,106000,108400,111100,113900,106500,111100,109000,105600,102600,98200,90200,92800,100900,117300,118000,118700,118600,112300,109700,112000,118900,131800,131500,123300,121500,123600,124500,114800,114600,124000,129300,134800,121500,124400,123600,134100,134900,140500,142100,140700,137900,137200,139400,134700,136800,136000,140400,142400,140700,141000,142000,146300,150700,150700,152600,150400,148300,148000,149700,159400,164200,162000,161700,161000,170300,171800,174800,177800,170400,173900,173900,179600,184400,185600,193100,189400,194200,197600,201000,198500,
395159,"Toccoa, GA",600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93200,102300,101900,90300,88400,86800,90400,89800,92500,101100,103700,109600,98600,97500,99700,110000,115100,114900,116600,113500,115000,111900,108400,107900,98900,107900,106900,103800,102500,99800,110000,103000,88300,97300,109900,
753909,"Ottawa, KS",601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88600,101400,100500,105800,115800,99700,85400,75500,89100,89100,92200,87700,91900,101200,99700,99500,86000,94700,104800,108500,108000,103700,103500,106200,103400,108300,106800,109000,105100,106900,107300,103400,104200,91500,99600,108300,122000,126200,125600,122000,121800,116100,128700,137100,138600,133700,124700,118300,115600,115600,120000,126600,130300,132700,123800,133300,118100,120300,122200,141600,150600,143200,144300,136100,139000,135000,136100,127500,118400,130000,138700,153800,143500,152200,144300,147400,138400,144400,136800
394758,"La Grande, OR",602,123800,124400,124500,122200,110900,122200,124200,138400,133100,140200,138200,127400,139100,138900,147900,125600,116700,119000,129700,144900,146500,143900,139600,131800,129700,130400,119100,124400,122700,135400,130100,136500,123600,129700,126000,134500,152700,144200,132500,109400,110800,123600,126600,134300,144700,138800,132500,128300,139000,146500,147300,139200,124800,135700,136200,135300,116100,109300,127600,128500,143200,140700,149900,149700,150300,149200,147800,146800,147900,152200,141500,144400,138200,145200,140200,137300,139900,151600,152300,149600,149300,145600,143100,168200,168600,175300,140900,151800,156700,146800,140700,133000,160400,162500,164700,143700,140500,145600,145900,146100,143200,144800,152400,155900,160200,158600,160600,161200,168600,156600,159400,154700,159700,160000,153800,160900,163600,170600,169800,150100,154100,143400,158000,157100,156800,167800,172800,189100,178500,182400,178400,187600,197300,207500,207100,205700,201500,201900,177400,191900,184200,
394649,"Greensburg, IN",603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112800,125700,132300,134300,132100,130700,115500,115200,116500,136400,136400,139900,128100,121900,113900,116200,124100,124000,128400,120700,135600,140000,139500,124600,118000,119900,121700,122400,124500,128200,123900,122700,131700,145400,144200,132800,135500,134400,140100,138800,140800,147700,137300,
394854,"Mexico, MO",604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84000,87200,84000,90500,90700,94400,90200,79400,76200,74500,76600,79600,71000,74000,76700,91300,90100,83300,85400,87000,100900,91300,94200,92200,93500,100500,106400,118200,112600,102500,93900,
753923,"The Dalles, OR",605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150200,139700,136500,133800,150600,158400,154200,154800,159600,168000,175800,166900,149000,147300,162000,174200,173400,164100,162200,159100,152800,151000,153700,165700,166600,152500,150700,156800,171200,166100,164900,160400,164100,156900,161200,160200,165400,167700,170900,173400,179600,183600,188400,193500,196000,198900,186300,182600,188400,189800,187700,176300,182000,188500,194300,198500,201900,214800,208400,209000,201000,214500,234100,233200,227200,211200,216100,239300,238500,236400,231300,241600,245800,233100,234400,241200,238900,246000,245600,262100,250500,262100,255200,266100,258500
394584,"Fallon, NV",606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115600,123500,115100,125000,133500,138500,126900,121700,127100,130300,142600,151200,128200,111000,101300,121500,128900,132800,141100,139900,134500,136800,155200,164600,164700,155900,156900,161800,156300,171300,173700,180400,167600,166600,160000,159900,144900,137600,137200,150400,163000,184800,187000,191100,175000,172800,175500,160600,168000,168300,187200,186600,182900,181100,180900,179400,182100,188100,199500,191800,195900,193800,210900,216200,227400,232700,235800,230200,228900,230200,237300,229200,228800,220400,217600,217900,234500,245000,234800,220700,225200,248400,267700,256800
394533,"Dickinson, ND",607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180900,177300,177300,186700,194700,182500,180600,179800,187500,198100,202300,209000,204000,194600,215200,208800,221100,204900,213500,212400,211700,215100,216900,225500,237300,237400,244100,235200,227000,217300,219900,231300,226300,229600,235000,237800,242400,238400,264500,260400,254600,237400,260900,275100,284100,273600,270700,269600,252600,259600,251800,257900,250100,254200,272800,284600,292900,275800,262700,232400,235300,235300,255900,253800,261100,266000,253900,238300,235300,244500,255900,247100,242900,233900,232200,234700,241900,250800,248900,241300,235900,225500,214400,221400,228400,248900,243600,252100,256200,257100,250100,234100,226100,227900,226900,226800,219400,229000,238800,249900,258400,255000,246000,
395110,"Spearfish, SD",608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172700,175100,171100,182700,194500,184500,173200,174000,190100,184700,185300,170700,177800,163000,184900,181800,189700,187100,202500,202600,187000,165400,159700,164700,188000,190300,191500,173100,173100,167100,166700,166600,168300,188600,195700,195000,180300,179400,190500,190000,191900,190200,194300,226300,248000,247100,212000,201500,196200,202800,195100,201200,195900,202700,205300,210800,208800,209500,195800,188500,199400,208600,227300,230600,229900,211600,188800,189700,225600,240100,249600,220700,220300,223800,225700,212400,216900,202000,218700,216500,244100,237100,237900,231700,239600,236800,230400,206500,213300,220700,242800,253900,270000,278400,252500,227900,,,,,,,
394674,"Heber, UT",609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214200,260800,251900,253400,235300,229900,228400,229600,248900,259400,247200,230700,216200,209800,233000,241700,253800,266000,275900,274800,306300,298900,313100,278900,283800,290100,265400,273200,283500,289200,278900,248800,277500,276900,270900,251200,251200,261300,263800,268900,285000,290000,309000,320100,313000,354600,327700,333600,295600,317500,325200,321300,316900,332200,346100,346300,331800,329400,352700,362800,352400,356100,354200,353500,336700,319500,318100,328100,350000,387200,403000,405900,389600,375700,391900,384600,391500,387500,398100,422900,445700,445100,433100,407900,409100,406700,418100,426100,432900,436300,415300,410500,414200,443800,432600,439000,441600,462100,462500,462500,455300,454300,453300,
753921,"Steamboat Springs, CO",610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387100,398300,398600,344600,348400,336900,338700,304800,313900,316300,359000,365000,378700,376400,377700,387000,388800,387300,372400,331400,325200,325800,363700,348100,333000,337100,357200,388800,409600,413500,421300,415300,426100,402100,419400,401900,416000,407600,409900,421100,413300,428800,443900,445500,437600,443000,429900,441800,436300,453200,440600,419700,422400,439000,465100,438900,428100,417800,435200,443200,429100,465200,451500,480900,
394837,"Maryville, MO",611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109200,102200,115600,115000,116200,110000,102800,108100,109500,106800,96800,98800,104000,107800,113300,107200,104700,102100,123800,130000,130500,129400,133800,126100,116200,117000,126400,136400,130400,130200,134100,136200,143900,
395130,"Sterling, CO",612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104800,119700,124300,113800,111300,101700,100000,108300,123700,131800,120500,105400,102400,104000,116200,114600,118000,116300,115000,109100,107000,110000,117700,125700,124600,117900,107500,102200,106000,109000,110100,109300,106700,107400,126600,131900,133700,124800,132100,140700,128600,120300,121700,127900,133100,131900,134900,133600,126600,121400,115600,116600,122200,130300,140700,137900,132500,173300,174000,178000,131400,135800,139900,148300,147200,148300,143800,148400,147000,157800,157600,166200,159600,170700,163300,158300,139600,139500,152000,167100
395241,"Yankton, SD",613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160500,162500,181200,168500,172500,163800,156300,156500,144800,144200,158300,170300,183700,172800,177900,168900,168900,172300,181300,180500,181700,181300,198000,188700,190500,191800,214200,212100,192800,169800,166300,166800,203800,208000,203300,164700,172800,180700,190500,186300,194100,195800,189200,
395227,"Williston, ND",614,,,,,,,,,,,,,,,,,,,,,,116200,106100,107800,116900,128000,115700,100000,111000,112500,127200,129200,148900,159700,169800,174300,169600,158400,148900,136500,125700,134300,149500,165200,170500,187700,194100,201600,205200,219000,230100,222900,211100,210200,229900,257300,269900,259100,247000,242200,251000,265400,241300,244300,237400,262300,268200,267200,274100,269900,273700,269700,268900,268200,256700,263100,270200,282400,287800,286700,299000,300800,281500,279000,277800,291800,292300,284800,295100,286300,284400,274900,299100,297600,305700,263400,259400,236700,249900,228400,245400,248700,258500,257000,253800,273600,250900,239800,236800,257200,267600,264400,252600,247500,235800,248000,242400,243700,240300,246100,256100,265500,262600,259900,252000,243300,247100,252100,256100,245600,225400,231300,245000,250500,250900,250000,269700,277200,275900,274900,287700,
394418,"Brookings, OR",615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197300,190700,187500,219000,220500,224400,199800,200000,194000,199800,202900,210300,228000,254100,266400,267500,260900,244700,247900,250200,275600,274100,258600,253600,241800,238000,227800,223000,231400,247600,273700,277900,266500,286700,302500,304600,272100,247000,233300,251700,253500,263900,267700,270800,283100,269100,269200,268500,287800,311300,318800,291500,269200,260700,268900,279300,285700,289300,299300,291700,303100,291800,308900,300200,320600,323600,316600,304700,293100,303300,302100,315300,330700,333000,329200,336100,337900,339000,323800,349000,364100,378000,345700
394687,"Hood River, OR",616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255400,259500,254700,273900,297300,320200,308500,306400,302500,288900,276300,284500,301300,304400,291200,286400,291100,297600,290900,289100,276100,280600,288300,290000,294700,291600,324900,328300,337100,296900,302300,302800,324800,325200,323700,327800,318900,317300,316900,320800,397400,391800,394300,320100,327400,355900,369100,368800,346000,347000,366200,368600,380100,387000,394700,394600,398900,435800,434500,418400,394200,392100,384300,390500,379800,381900,387400,394500,406200,388100,388900,400100,444800,463600,452400,412100,399800,432400,424200,470700,441100,436700,386600,412300,425700,437600,404400,425300,412100,432400
394371,"Beatrice, NE",617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115400,120400,107400,96700,103700,115400,111800,105200,94500,100100,106700,118500,116600,116000,118500,115700,99000,88400,100600,107200,102100,95900,103800,113100,120700,112800,97200,87300,97200
394403,"Borger, TX",618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99600,95100,83700,76600,77200,85600,95100,82300,70100,67200,77000,81700,79300,83900,77500,85700,96100,99700,92200,84200,85000,84700,80000,78300,75800,75800,71300,82900,83700,90300,79100,85300,83300,91900,86000,97000,83800,83900,70700,78700,78500,
395004,"Prineville, OR",619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170000,163500,169700,172400,183000,173500,174600,169100,174900,178700,175700,177500,179600,186000,192600,190200,192800,200400,213500,222600,213800,199300,188900,198400,204000,213100,219500,226800,226700,218300,216200,238100,247900,255500,247500,240800,240700,237900,242100,235200,225500,227300,237500,257900,263000,263600,254100,286800,300000,292900,272300,258100,257200,248100,256300
