RegionID,RegionName,SizeRank,ZHVI_All_96,ZHVI_All_97,ZHVI_All_98,ZHVI_All_99,ZHVI_All_00,ZHVI_All_01,ZHVI_All_02,ZHVI_All_03,ZHVI_All_04,ZHVI_All_05,ZHVI_All_06,ZHVI_All_07,ZHVI_All_08,ZHVI_All_09,ZHVI_All_10,ZHVI_All_11,ZHVI_All_12,ZHVI_All_13,ZHVI_All_14,ZHVI_All_15,ZHVI_All_16,ZHVI_All_17,ZHVI_All_18,ZHVI_All_19,BS_IndexG_10,BS_IndexG_11,BS_IndexG_12,BS_IndexG_13,BS_IndexG_14,BS_IndexG_15,BS_IndexG_16,BS_IndexG_17,BS_IndexG_18,BS_IndexG_19,BS_IndexT_10,BS_IndexT_11,BS_IndexT_12,BS_IndexT_13,BS_IndexT_14,BS_IndexT_15,BS_IndexT_16,BS_IndexT_17,BS_IndexT_18,BS_IndexT_19,DaysZill_10,DaysZill_11,DaysZill_12,DaysZill_13,DaysZill_14,DaysZill_15,DaysZill_16,DaysZill_17,DaysZill_18,DaysZill_19,PriceCut_10,PriceCut_11,PriceCut_12,PriceCut_13,PriceCut_14,PriceCut_15,PriceCut_16,PriceCut_17,PriceCut_18,PriceCut_19,ZHVI_sfr_96,ZHVI_sfr_97,ZHVI_sfr_98,ZHVI_sfr_99,ZHVI_sfr_00,ZHVI_sfr_01,ZHVI_sfr_02,ZHVI_sfr_03,ZHVI_sfr_04,ZHVI_sfr_05,ZHVI_sfr_06,ZHVI_sfr_07,ZHVI_sfr_08,ZHVI_sfr_09,ZHVI_sfr_10,ZHVI_sfr_11,ZHVI_sfr_12,ZHVI_sfr_13,ZHVI_sfr_14,ZHVI_sfr_15,ZHVI_sfr_16,ZHVI_sfr_17,ZHVI_sfr_18,ZHVI_sfr_19,mListing_13,mListing_14,mListing_15,mListing_16,mListing_17,mListing_18,mListing_19,SaleCut_13,SaleCut_14,SaleCut_15,SaleCut_16,SaleCut_17,SaleCut_18,SaleCut_19,SalePrice_13,SalePrice_14,SalePrice_15,SalePrice_16,SalePrice_17,SalePrice_18,SalePrice_19,State
102001,United States,0.0,107038.77777777778,109827.83333333333,114622.83333333333,120723.75,128912.25,138267.41666666666,147711.16666666666,158903.75,173906.33333333334,194150.91666666666,210377.25,211153.25,196977.83333333334,178829.08333333334,172984.58333333334,163598.83333333334,162201.16666666666,172932.41666666666,184041.25,192736.5,203459.75,216260.58333333334,230266.75,240481.5,,,,,,,,,,,1.315,0.5983333333333333,1.8408333333333333,3.6599999999999997,3.6208333333333336,5.1066666666666665,5.976666666666667,7.605,9.4775,8.145000000000001,124.41666666666667,123.33333333333333,114.91666666666667,101.0,96.83333333333333,93.91666666666667,91.5,83.33333333333333,76.0,77.36363636363636,13.396722544743875,13.074866357342534,11.218824922315457,11.794999971278491,13.59145630535379,13.183507794128259,12.809077253269484,13.190849430081991,14.003038004444017,14.503119325944766,106933.11111111111,109774.16666666667,114515.08333333333,120544.58333333333,128578.75,137613.83333333334,146661.41666666666,157376.41666666666,171818.25,191192.91666666666,206779.0,207955.08333333334,194747.16666666666,177415.41666666666,171897.33333333334,162783.16666666666,161478.0,171881.83333333334,182695.08333333334,191240.33333333334,201838.16666666666,214582.58333333334,228503.5,238851.66666666666,1957117.1666666667,1972347.8333333333,1895744.9166666667,1797109.4166666667,1641073.75,1591109.6666666667,1549865.5,1957117.1666666667,1972347.8333333333,1895744.9166666667,1797109.4166666667,1641073.75,1591109.6666666667,1549865.5,1957117.1666666667,1972347.8333333333,1895744.9166666667,1797109.4166666667,1641073.75,1591109.6666666667,1549865.5,
394913,"New York, NY",1.0,185804.55555555556,189814.66666666666,197705.58333333334,212424.08333333334,237131.91666666666,266243.9166666667,299799.9166666667,343471.5,387420.9166666667,441464.75,480716.3333333333,472632.5,448242.3333333333,411073.9166666667,400440.1666666667,386875.6666666667,373900.0,382597.75,400968.1666666667,411819.6666666667,424130.0,444185.25,468275.25,479370.0833333333,0.21500000000000002,0.2966666666666667,0.23833333333333329,0.39999999999999997,0.7433333333333333,0.5083333333333333,0.4424999999999999,0.3175,0.22583333333333333,0.18416666666666667,2.6849999999999996,1.3108333333333333,1.1275000000000002,3.1225,6.257499999999999,4.786666666666666,4.2425,7.166666666666667,9.4475,8.340833333333334,175.75,178.58333333333334,184.91666666666666,165.83333333333334,149.58333333333334,150.41666666666666,149.08333333333334,140.41666666666666,129.95833333333334,131.27272727272728,11.8181315537695,12.568360788401733,10.459003315012568,9.492813475961581,10.812306256339786,11.338809500467518,11.037737034665488,11.13195375235671,12.382487446319956,13.194443205111783,188901.0,192875.91666666666,200771.66666666666,215731.08333333334,240807.16666666666,269972.4166666667,304069.25,348690.3333333333,393204.9166666667,447110.3333333333,486125.5833333333,477499.8333333333,452014.0833333333,414398.5833333333,403818.1666666667,388935.0,374680.5833333333,382412.5,399580.5,409091.25,420992.0,441314.0,465371.0,476919.0,111626.83333333333,107974.08333333333,108328.25,101130.08333333333,86809.91666666667,85761.08333333333,86919.33333333333,111626.83333333333,107974.08333333333,108328.25,101130.08333333333,86809.91666666667,85761.08333333333,86919.33333333333,111626.83333333333,107974.08333333333,108328.25,101130.08333333333,86809.91666666667,85761.08333333333,86919.33333333333,NY
753899,"Los Angeles-Long Beach-Anaheim, CA",2.0,183658.0,185057.33333333334,199690.66666666666,218757.58333333334,241054.08333333334,267742.6666666667,305153.1666666667,363572.3333333333,456164.4166666667,551129.8333333334,616357.1666666666,600441.25,498861.0,424611.8333333333,425683.5,401402.5833333333,396878.9166666667,466258.0833333333,510314.0,537617.0,575413.9166666666,613467.5833333334,653282.5833333334,659959.5,7.27,6.8066666666666675,8.336666666666666,9.745,9.549166666666666,9.5025,9.492499999999998,9.491666666666667,8.845833333333333,7.234999999999999,1.775,0.6516666666666667,1.7266666666666666,7.576666666666667,4.5225,5.197500000000001,5.545000000000001,8.301666666666666,8.523333333333333,3.9091666666666662,104.08333333333333,107.625,96.25,69.75,73.25,73.33333333333333,72.5,66.08333333333333,62.5,70.18181818181819,14.83070571986475,15.034633785367683,9.65757682951506,10.066249458602105,14.042176680949334,11.638976427532617,11.336524774391178,10.918267773759391,13.809132223560965,14.065908919094683,191815.55555555556,193679.91666666666,209248.41666666666,229109.75,252207.08333333334,279525.75,318163.3333333333,378810.1666666667,474966.6666666667,574024.9166666666,641956.0,624908.5833333334,518825.3333333333,442162.8333333333,445051.6666666667,420843.9166666667,417108.5,489700.3333333333,534692.0833333334,563425.5833333334,602863.5833333334,641937.0833333334,682641.8333333334,689783.1666666666,28117.416666666668,30703.416666666668,28928.0,27571.333333333332,23648.666666666668,25690.416666666668,26975.833333333332,28117.416666666668,30703.416666666668,28928.0,27571.333333333332,23648.666666666668,25690.416666666668,26975.833333333332,28117.416666666668,30703.416666666668,28928.0,27571.333333333332,23648.666666666668,25690.416666666668,26975.833333333332,CA
394463,"Chicago, IL",3.0,159882.77777777778,159287.33333333334,149233.16666666666,161389.0,173297.25,187787.0,202033.83333333334,216730.0,233122.33333333334,253362.66666666666,270013.25,271456.1666666667,254141.83333333334,222859.58333333334,207283.83333333334,187939.41666666666,175839.75,183974.83333333334,197232.16666666666,203625.66666666666,211819.25,223642.58333333334,233624.0,238334.33333333334,1.3450000000000002,1.7633333333333334,3.025833333333333,4.9775,5.549166666666667,3.504166666666667,3.6833333333333336,3.8616666666666664,3.1333333333333333,2.4583333333333335,1.3599999999999999,0.5983333333333333,1.8333333333333333,4.5075,5.69,3.2800000000000007,4.901666666666666,7.635833333333333,9.5,8.076666666666666,157.41666666666666,146.75,132.04166666666666,116.33333333333333,107.91666666666667,112.125,108.91666666666667,98.04166666666667,91.5,92.9090909090909,15.204942224619248,16.349424504867592,14.539052313791657,13.328199347447958,16.712267606642094,16.887911882530958,16.08609639809974,16.503835626052517,17.453531254669258,18.93612374371152,162725.88888888888,162023.83333333334,151541.08333333334,163939.5,175933.16666666666,190560.33333333334,204898.25,219959.5,236919.66666666666,257894.58333333334,275134.4166666667,276596.1666666667,258481.91666666666,226052.41666666666,210307.5,191301.5,179558.91666666666,187959.75,201262.5,207501.25,215681.16666666666,227614.33333333334,237742.5,242550.91666666666,50837.666666666664,51607.25,55615.833333333336,51116.833333333336,46009.666666666664,45069.166666666664,46163.5,50837.666666666664,51607.25,55615.833333333336,51116.833333333336,46009.666666666664,45069.166666666664,46163.5,50837.666666666664,51607.25,55615.833333333336,51116.833333333336,46009.666666666664,45069.166666666664,46163.5,IL
394514,"Dallas-Fort Worth, TX",4.0,112328.44444444444,114509.75,117891.33333333333,123596.08333333333,129273.41666666667,131333.0,134849.33333333334,138512.75,146286.91666666666,151180.58333333334,154484.16666666666,157178.08333333334,153210.33333333334,149792.91666666666,149026.08333333334,143135.75,144662.08333333334,153807.91666666666,166049.0,181885.41666666666,201165.0,221183.0,239181.25,249704.83333333334,6.11,6.2108333333333325,8.530833333333332,9.48,9.885833333333336,9.906666666666668,9.891666666666667,9.8325,9.292499999999999,7.326666666666665,1.135,0.6058333333333333,1.8633333333333333,3.583333333333334,5.484999999999999,8.879166666666666,7.219166666666666,8.182500000000001,6.818333333333334,3.4241666666666664,105.83333333333333,114.91666666666667,92.5,72.70833333333333,62.916666666666664,58.5,58.833333333333336,55.416666666666664,57.75,66.0,13.954080508149598,14.16009654539991,13.343467280641251,12.8381690179271,13.41637567229405,12.279717124369462,12.674640226877782,15.253784527924566,17.671741211171035,19.35270141936964,113370.77777777778,115563.5,118970.16666666667,124772.91666666667,130519.16666666667,132538.41666666666,136084.66666666666,139734.08333333334,147489.75,152404.66666666666,155702.0,158385.91666666666,154373.75,150980.5,150295.83333333334,144445.91666666666,146056.33333333334,155286.0,167669.91666666666,183670.0,203102.25,223175.75,241196.58333333334,251666.16666666666,33412.75,30294.916666666668,26694.5,23030.333333333332,25719.166666666668,30970.583333333332,33806.083333333336,33412.75,30294.916666666668,26694.5,23030.333333333332,25719.166666666668,30970.583333333332,33806.083333333336,33412.75,30294.916666666668,26694.5,23030.333333333332,25719.166666666668,30970.583333333332,33806.083333333336,TX
394974,"Philadelphia, PA",5.0,118688.22222222222,120277.91666666667,122240.0,125484.5,131986.83333333334,140129.75,152492.5,171452.91666666666,194769.5,223681.66666666666,246628.33333333334,250630.58333333334,243578.83333333334,230463.58333333334,226179.58333333334,212864.25,204181.08333333334,206404.41666666666,210993.41666666666,213519.16666666666,217395.66666666666,225958.16666666666,236649.0,245420.91666666666,1.16,1.2883333333333336,1.5291666666666668,2.6791666666666667,3.439166666666667,2.2399999999999998,2.49,2.8941666666666666,2.7983333333333333,3.244166666666666,2.045,0.8491666666666667,1.468333333333333,3.7274999999999996,5.334166666666666,3.704166666666667,5.598333333333333,7.3183333333333325,8.681666666666667,9.2275,137.58333333333334,146.16666666666666,141.08333333333334,123.41666666666667,116.5,117.91666666666667,112.41666666666667,102.0,92.5,89.0909090909091,15.962820413338527,16.727293826452183,15.952266372279825,15.919092603627583,17.925620856071877,18.446041149726966,18.014917776655015,18.016714972803115,16.21356075932763,15.280493772729727,120886.44444444444,122498.41666666667,124511.66666666667,127799.33333333333,134377.08333333334,142523.25,154957.08333333334,174040.33333333334,197656.16666666666,226968.66666666666,250213.0,254242.16666666666,247032.5,233611.66666666666,229293.16666666666,215877.58333333334,207014.75,209315.58333333334,214067.41666666666,216679.83333333334,220726.33333333334,229511.5,240451.33333333334,249363.58333333334,37577.75,37923.5,37545.75,34641.583333333336,30962.916666666668,28691.166666666668,25817.75,37577.75,37923.5,37545.75,34641.583333333336,30962.916666666668,28691.166666666668,25817.75,37577.75,37923.5,37545.75,34641.583333333336,30962.916666666668,28691.166666666668,25817.75,PA
394692,"Houston, TX",6.0,109117.88888888889,110264.58333333333,113862.08333333333,119072.83333333333,123896.08333333333,125329.91666666667,128638.83333333333,132721.66666666666,140207.25,146767.75,149624.0,154470.0,153149.0,149598.83333333334,149246.58333333334,142751.0,142837.16666666666,153114.58333333334,168593.41666666666,183597.5,192166.33333333334,198945.83333333334,206467.08333333334,214277.41666666666,5.27,5.069166666666668,7.267499999999999,9.011666666666667,9.705,9.554166666666665,8.648333333333332,7.281666666666666,5.968333333333334,4.008333333333333,1.27,0.5908333333333333,1.8558333333333332,5.4991666666666665,8.954166666666667,8.865,5.758333333333333,5.075,6.2275,3.2125,113.29166666666667,121.41666666666667,105.83333333333333,82.16666666666667,70.41666666666667,68.75,77.54166666666667,80.25,76.16666666666667,83.36363636363636,14.582597689668725,14.53146788409015,13.202678114824097,12.020357411723689,12.791565338028725,15.829689488902943,16.424621773758755,16.617240484004427,17.10925672523878,18.436213775900306,110227.0,111396.16666666667,115052.33333333333,120343.33333333333,125262.58333333333,126639.16666666667,129955.41666666667,134094.83333333334,141655.25,148307.08333333334,151149.91666666666,156041.33333333334,154734.75,151194.41666666666,150963.5,144462.58333333334,144539.0,154870.0,170462.66666666666,185567.25,194184.83333333334,201041.16666666666,208641.58333333334,216527.0,35504.916666666664,31932.583333333332,32451.416666666668,33247.666666666664,34683.666666666664,35257.166666666664,36228.833333333336,35504.916666666664,31932.583333333332,32451.416666666668,33247.666666666664,34683.666666666664,35257.166666666664,36228.833333333336,35504.916666666664,31932.583333333332,32451.416666666668,33247.666666666664,34683.666666666664,35257.166666666664,36228.833333333336,TX
395209,"Washington, DC",7.0,176562.44444444444,176520.33333333334,178476.91666666666,184393.83333333334,196600.91666666666,218137.08333333334,247930.25,284558.75,336602.9166666667,413507.8333333333,458217.4166666667,440304.5833333333,385926.5,338495.25,336693.1666666667,330386.3333333333,334331.1666666667,358429.6666666667,376049.5,379139.5,386211.9166666667,400672.1666666667,414289.0,427039.0,7.48,7.494166666666666,8.203333333333333,9.166666666666668,8.790000000000001,7.4175,6.7625,6.800833333333333,6.628333333333334,7.684999999999999,2.225,0.8633333333333334,2.545,7.1208333333333345,5.659166666666667,3.0833333333333326,3.015833333333333,5.841666666666668,8.2875,9.4625,104.08333333333333,105.41666666666667,98.5,81.5,84.91666666666667,90.58333333333333,90.66666666666667,81.08333333333333,73.41666666666667,69.54545454545455,14.4794326682219,13.953214695147409,11.476877884068758,12.30183546450359,16.003598120333443,16.151579166918523,15.39574389031891,15.491251628751224,15.159677761690398,14.054443343796775,186941.22222222222,186875.08333333334,189178.0,195846.33333333334,209214.58333333334,232488.91666666666,263859.1666666667,302090.5833333333,356906.5833333333,438212.1666666667,485673.4166666667,465599.0833333333,406085.0833333333,355695.3333333333,354664.6666666667,348545.8333333333,353337.5,378893.5833333333,397491.5833333333,400820.3333333333,408310.8333333333,424051.1666666667,438585.5,451671.3333333333,19329.5,24233.833333333332,27927.75,25457.416666666668,23163.583333333332,24672.666666666668,19693.0,19329.5,24233.833333333332,27927.75,25457.416666666668,23163.583333333332,24672.666666666668,19693.0,19329.5,24233.833333333332,27927.75,25457.416666666668,23163.583333333332,24672.666666666668,19693.0,DC
394856,"Miami-Fort Lauderdale, FL",8.0,112140.33333333333,113892.66666666667,117371.08333333333,121419.5,128046.16666666667,141229.83333333334,160836.5,184846.5,216580.16666666666,271262.75,325402.0833333333,318080.25,255888.5,194251.75,175068.83333333334,161569.33333333334,164202.0,188411.25,216298.16666666666,232917.0,252332.5,270379.4166666667,286894.5,296967.3333333333,6.87,6.035,7.544999999999999,7.704999999999999,6.6525,6.088333333333334,5.410833333333333,3.8583333333333325,2.6341666666666668,2.1558333333333333,4.545,0.735,3.7191666666666663,8.705,3.871666666666666,5.022500000000001,4.674166666666667,5.181666666666666,8.106666666666667,5.476666666666666,136.66666666666666,125.54166666666667,113.41666666666667,109.5,109.16666666666667,105.33333333333333,107.5,107.0,99.41666666666667,102.63636363636364,11.271518513816126,9.051068850446503,7.548116154230147,7.872033154472683,12.429729009644817,11.899404227686432,12.505908190437372,12.88393832062499,14.207211523100222,14.4486600142898,126527.88888888889,128681.91666666667,132586.16666666666,137449.66666666666,145270.66666666666,160046.83333333334,181553.5,208923.41666666666,245817.66666666666,307964.3333333333,368612.6666666667,359679.3333333333,289421.9166666667,221537.0,203492.0,188639.25,190690.33333333334,217331.58333333334,249339.66666666666,268605.9166666667,291076.0833333333,311939.1666666667,331207.1666666667,342506.8333333333,58554.083333333336,58788.333333333336,51345.75,54663.833333333336,55260.5,56322.333333333336,57089.25,58554.083333333336,58788.333333333336,51345.75,54663.833333333336,55260.5,56322.333333333336,57089.25,58554.083333333336,58788.333333333336,51345.75,54663.833333333336,55260.5,56322.333333333336,57089.25,FL
394347,"Atlanta, GA",9.0,121722.44444444444,126776.58333333333,134334.58333333334,143164.08333333334,154077.33333333334,164973.33333333334,172433.75,176854.16666666666,181048.58333333334,187229.5,194035.66666666666,197438.91666666666,186651.25,162655.66666666666,150650.25,132747.66666666666,130182.33333333333,145483.75,163468.0,173794.25,185686.75,199806.08333333334,218560.41666666666,232738.91666666666,3.725,3.1025000000000005,7.541666666666667,8.966666666666667,9.0725,8.935,8.785833333333333,8.701666666666666,8.744166666666667,7.44,1.225,0.5908333333333333,1.8633333333333333,4.2275,3.8641666666666663,5.136666666666667,5.135833333333333,7.795833333333334,9.5,7.931666666666666,137.58333333333334,133.75,108.33333333333333,93.91666666666667,88.66666666666667,85.0,83.95833333333333,76.41666666666667,67.83333333333333,70.0,14.036559963011223,14.543413498486975,10.816604084529407,10.806228891705276,13.396681218428833,12.764859750606368,12.376777423633719,12.392527153605899,13.158062236048941,15.26734157788439,123337.11111111111,128316.16666666667,135763.0,144370.0,155093.83333333334,165951.83333333334,173524.33333333334,178056.66666666666,182368.5,188709.25,195762.25,199330.5,188429.33333333334,163999.5,151968.75,134019.16666666666,131656.16666666666,147223.58333333334,165244.75,175450.16666666666,187229.16666666666,201238.58333333334,219935.66666666666,234327.75,31052.5,34087.416666666664,40236.583333333336,38783.416666666664,35558.083333333336,32363.25,34294.0,31052.5,34087.416666666664,40236.583333333336,38783.416666666664,35558.083333333336,32363.25,34294.0,31052.5,34087.416666666664,40236.583333333336,38783.416666666664,35558.083333333336,32363.25,34294.0,GA
